ID,Year_Birth,Age,Generasi,Education,Marital_Status,Income,Economic_Stat,Kidhome,Teenhome,Dependent,Dt_Customer,Recency,Complain,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,mnttotal,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,totalpurchases,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,totalacceptedcmp,Recency_Category
5524,1957,57,Boomers,Bachelor,Single,58138.0,High,0,0,0,2012-09-04,58,0,635.0,83,499,120,88,88,1513.0,3,8,7,4,7,22,0,0,0,0,0,1,1,High Recency
2174,1954,60,Boomers,Bachelor,Single,46344.0,Low,1,1,2,2014-03-08,38,0,11.0,1,7,2,1,6,28.0,2,1,1,2,5,6,0,0,0,0,0,0,0,High Recency
4141,1965,49,Gen X,Bachelor,Married,71613.0,Highest,0,0,0,2013-08-21,26,0,426.0,49,127,111,21,42,776.0,1,8,2,10,4,21,0,0,0,0,0,0,0,Low Recency
6182,1984,30,Milennial,Bachelor,Married,26646.0,Lowest,1,0,1,2014-02-10,26,0,11.0,4,20,10,3,5,53.0,2,2,0,4,6,8,0,0,0,0,0,0,0,Low Recency
5324,1981,33,Milennial,PhD,Married,58293.0,High,1,0,1,2014-01-19,94,0,173.0,43,118,46,27,15,422.0,5,5,3,6,5,19,0,0,0,0,0,0,0,High Recency
7446,1967,47,Gen X,Master,Married,62513.0,High,0,1,1,2013-09-09,16,0,520.0,42,98,0,42,14,716.0,2,6,4,10,6,22,0,0,0,0,0,0,0,Low Recency
965,1971,43,Gen X,Bachelor,Divorced,55635.0,High,0,1,1,2012-11-13,34,0,235.0,65,164,50,49,27,590.0,4,7,3,7,6,21,0,0,0,0,0,0,0,High Recency
6177,1985,29,Milennial,PhD,Married,33454.0,Lowest,1,0,1,2013-05-08,32,0,76.0,10,56,3,1,23,169.0,2,4,0,4,8,10,0,0,0,0,0,0,0,High Recency
4855,1974,40,Gen X,PhD,Married,30351.0,Lowest,1,0,1,2013-06-06,19,0,14.0,0,24,3,3,3,47.0,1,3,0,2,8,6,0,0,0,0,0,1,1,Low Recency
5899,1950,64,Boomers,PhD,Married,5648.0,Lowest,1,1,2,2014-03-13,68,0,28.0,0,7,1,1,13,50.0,1,1,0,2,8,4,0,0,1,0,0,0,1,High Recency
